icao24,callsign,paese,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp_raccolta
0200ae,RAM571A ,Morocco,1787658188,1787658188,7.6993,39.5863,11277.6,False,213.57,268.48,0.0,,11932.92,,False,0,2026-08-25 11:43:14.978701
4bb214,THY1GP  ,Turkey,1787658188,1787658189,11.9133,45.0672,5394.96,False,177.21,250.14,-9.1,,5661.66,2306,False,0,2026-08-25 11:43:14.978701
0200ca,RAM910T ,Morocco,1787658187,1787658187,12.3954,40.8982,12192.0,False,270.81,87.71,-0.33,,12832.08,1266,False,0,2026-08-25 11:43:14.978701
8963eb,UAE1GP  ,United Arab Emirates,1787658188,1787658188,7.2747,43.6887,312.42,False,69.82,281.48,-4.55,,358.14,2007,False,0,2026-08-25 11:43:14.978701
4bb10b,THY801  ,Turkey,1787658188,1787658188,9.7644,44.7471,11887.2,False,280.87,99.17,0.0,,12344.4,0457,False,0,2026-08-25 11:43:14.978701
489220,ENT773  ,Poland,1787657947,1787657949,18.208,40.6238,7734.3,False,229.09,92.19,-19.83,,8267.7,1423,False,0,2026-08-25 11:43:14.978701
8963e6,UAE4PV  ,United Arab Emirates,1787658188,1787658188,9.7453,44.3952,8351.52,False,191.64,302.84,-7.8,,,6057,False,0,2026-08-25 11:43:14.978701
8963db,UAE17K  ,United Arab Emirates,1787658188,1787658188,14.3923,35.9262,601.98,False,77.85,135.0,-3.25,,716.28,4601,False,0,2026-08-25 11:43:14.978701
3465c9,VOE1641 ,Spain,1787658187,1787658188,17.6179,40.4463,10363.2,False,209.31,292.09,0.0,,10972.8,,False,0,2026-08-25 11:43:14.978701
4b0c1d,HBEPH   ,Switzerland,1787658188,1787658188,8.6613,46.837,2659.38,False,62.16,347.57,-6.18,,2788.92,7000,False,0,2026-08-25 11:43:14.978701
896517,FDB47B  ,United Arab Emirates,1787658183,1787658187,10.3295,40.4268,7955.28,False,241.96,103.15,7.48,,8465.82,,False,0,2026-08-25 11:43:14.978701
896497,MAC486  ,United Arab Emirates,1787658188,1787658188,7.1299,40.88,11277.6,False,211.11,276.16,0.0,,11917.68,4057,False,0,2026-08-25 11:43:14.978701
4d02ba,JFA96W  ,Luxembourg,1787658187,1787658187,6.9527,43.5471,,True,8.23,351.56,,,,7527,False,0,2026-08-25 11:43:14.978701
